Factor	Tag	Preferred_NonPref	peakLocation	Final.HA.Annotation	Lambert2018.TF.NotTF	Notes	go_anno	orthologous_group
NR2C2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF525KBT/@@download/ENCFF525KBT.bed.gz	TF	Yes		transcription factor	COG1028
NR2F1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF743WMC/@@download/ENCFF743WMC.bed.gz	TF	Yes		transcription factor	COG3464
NR2F1	eGFP	Non-preferred	https://www.encodeproject.org/files/ENCFF460HFX/@@download/ENCFF460HFX.bed.gz	TF	Yes		transcription factor	COG3464
NR2F2		Preferred	https://www.encodeproject.org/files/ENCFF681WXL/@@download/ENCFF681WXL.bed.gz	TF	Yes		transcription factor	COG0154
NR2F6		Non-preferred	https://www.encodeproject.org/files/ENCFF529UHN/@@download/ENCFF529UHN.bed.gz	TF	Yes		transcription factor	COG3677
NR2F6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF597EOO/@@download/ENCFF597EOO.bed.gz	TF	Yes		transcription factor	COG3677
NR3C1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF733MQF/@@download/ENCFF733MQF.bed.gz	TF	Yes		transcription factor	COG5492
NR5A1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF304HWM/@@download/ENCFF304HWM.bed.gz	TF	Yes		transcription factor	COG1545
NRF1		Non-preferred	https://www.encodeproject.org/files/ENCFF785BAI/@@download/ENCFF785BAI.bed.gz	TF	Yes		transcription factor	COG2226
NRF1		Preferred	https://www.encodeproject.org/files/ENCFF520WIR/@@download/ENCFF520WIR.bed.gz	TF	Yes		transcription factor	COG2226
NRL	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF789ZJN/@@download/ENCFF789ZJN.bed.gz	TF	Yes		transcription factor	COG3599
ONECUT1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF759WME/@@download/ENCFF759WME.bed.gz	TF	Yes		transcription factor	COG3620
ONECUT2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF476NUG/@@download/ENCFF476NUG.bed.gz	TF	Yes		transcription factor	COG1403
PAF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF404XCS/@@download/ENCFF404XCS.bed.gz	Other			"transcription factor,chromatin remodeller"	COG3378
PATZ1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF024AEZ/@@download/ENCFF024AEZ.bed.gz	TF	Yes		transcription factor	COG1961
PAWR	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF610NSO/@@download/ENCFF610NSO.bed.gz	Other	No		transcription factor	COG1196
PAX8	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503147&format=file&file=GSM7503147%5FPAX8%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0515
PAXIP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF825TUP/@@download/ENCFF825TUP.bed.gz	Other	No			COG0457
PBX2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF295AGS/@@download/ENCFF295AGS.bed.gz	TF	Yes		transcription factor	COG3409
PBX3	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503148&format=file&file=GSM7503148%5FPBX3%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1309
PCBP1		Preferred	https://www.encodeproject.org/files/ENCFF884TSX/@@download/ENCFF884TSX.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG1196
PCBP2		Preferred	https://www.encodeproject.org/files/ENCFF057DYX/@@download/ENCFF057DYX.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG4223
PEG3	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503149&format=file&file=GSM7503149%5FPEG3%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG5263
PHB2		Preferred	https://www.encodeproject.org/files/ENCFF597SCY/@@download/ENCFF597SCY.bed.gz	Other	No		transcription factor	COG3209
PHF20	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF176BYA/@@download/ENCFF176BYA.bed.gz	TF	Yes		transcription factor	COG0675
PHF21A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF421PRN/@@download/ENCFF421PRN.bed.gz	TF	Yes		transcription factor	COG1961
PHF8		Non-preferred	https://www.encodeproject.org/files/ENCFF532RXN/@@download/ENCFF532RXN.bed.gz	Other			"transcription factor,chromatin remodeller,RNA binding protein"	COG3170
PHF8	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF127LBZ/@@download/ENCFF127LBZ.bed.gz	Other			"transcription factor,chromatin remodeller,RNA binding protein"	COG3170
PHTF1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503150&format=file&file=GSM7503150%5FPHTF1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG0726
PITX1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF512NCZ/@@download/ENCFF512NCZ.bed.gz	TF	Yes		transcription factor	COG3064
PLRG1		Preferred	https://www.encodeproject.org/files/ENCFF251RCG/@@download/ENCFF251RCG.bed.gz	Other		"mRNA splicing complex member, required for splicing initiation."	transcription factor	COG2319
PLSCR1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF327XJK/@@download/ENCFF327XJK.bed.gz	TF	Yes			COG0247
POGZ	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF464PTM/@@download/ENCFF464PTM.bed.gz	Other	No		transcription factor	COG2870
POLR2A		Preferred	https://www.encodeproject.org/files/ENCFF505PXD/@@download/ENCFF505PXD.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG3209
POLR2A		Uncharacterized	https://www.encodeproject.org/files/ENCFF806UQS/@@download/ENCFF806UQS.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG3209
POLR2A		Uncharacterized	https://www.encodeproject.org/files/ENCFF663LEV/@@download/ENCFF663LEV.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG3209
POLR2AphosphoS2		Preferred	https://www.encodeproject.org/files/ENCFF400CVS/@@download/ENCFF400CVS.bed.gz	Other	No		"other context,other post-translational modification,transcription factor"	
POLR2AphosphoS5		Preferred	https://www.encodeproject.org/files/ENCFF483FKZ/@@download/ENCFF483FKZ.bed.gz	Other	No		"other context,other post-translational modification,transcription factor"	
POLR2G		Preferred	https://www.encodeproject.org/files/ENCFF496CJE/@@download/ENCFF496CJE.bed.gz	Other			"RNA binding protein,transcription factor"	COG2814
POU2F1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503151&format=file&file=GSM7503151%5FPOU2F1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3210
PPARG	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF567JIZ/@@download/ENCFF567JIZ.bed.gz	TF	Yes		transcription factor	COG0635
PRDM10	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF746BIW/@@download/ENCFF746BIW.bed.gz	TF	Yes		transcription factor	COG1198
PRDM15	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF028CNE/@@download/ENCFF028CNE.bed.gz	TF	Yes		transcription factor	COG3464
PRDM4	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503152&format=file&file=GSM7503152%5FPRDM4%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3250
PREB	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF624VRP/@@download/ENCFF624VRP.bed.gz	TF	Yes		transcription factor	COG2319
PRMT5	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503153&format=file&file=GSM7503153%5FPRMT5%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other		"Methyltransferase.  Methylates arginines, SUPT5H."	transcription factor	COG0438
PRPF4		Preferred	https://www.encodeproject.org/files/ENCFF719VLD/@@download/ENCFF719VLD.bed.gz	Other		Spliceosome B complex member.	"RNA binding protein,transcription factor"	COG2319
PTBP1		Preferred	https://www.encodeproject.org/files/ENCFF793YIO/@@download/ENCFF793YIO.bed.gz	Other		"hnRNP family member, involved in exon skipping, RNA looping, splicing mahinery. Has rna recognition motif, no DNA binding domains."	"RNA binding protein,transcription factor"	COG0534
RAD21	FLAG	Uncharacterized	https://www.encodeproject.org/files/ENCFF786ZDM/@@download/ENCFF786ZDM.bed.gz	Other	No		transcription factor	COG1783
RAD21		Non-preferred	https://www.encodeproject.org/files/ENCFF986ECW/@@download/ENCFF986ECW.bed.gz	Other	No		transcription factor	COG1783
RAD21	eGFP	Uncharacterized	https://www.encodeproject.org/files/ENCFF049KLQ/@@download/ENCFF049KLQ.bed.gz	Other	No		transcription factor	COG1783
RAD21		Preferred	https://www.encodeproject.org/files/ENCFF171ZXN/@@download/ENCFF171ZXN.bed.gz	Other	No		transcription factor	COG1783
RAD51		Preferred	https://www.encodeproject.org/files/ENCFF932LVB/@@download/ENCFF932LVB.bed.gz	Other	No		transcription factor	COG0389
RARA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF051RBF/@@download/ENCFF051RBF.bed.gz	TF	Yes		transcription factor	COG2801
RARG	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF660XKF/@@download/ENCFF660XKF.bed.gz	TF	Yes		transcription factor	COG1403
RBAK	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF376YBW/@@download/ENCFF376YBW.bed.gz	TF	Yes		transcription factor	COG4469
RBFOX2		Preferred	https://www.encodeproject.org/files/ENCFF756RMH/@@download/ENCFF756RMH.bed.gz	Other		"RNA splicing / binding protein. HAs interactions with ~32 proteins. Has rna recognition motif domain, but no clear DNA binding domain."	"RNA binding protein,transcription factor"	COG3266
RBM22		Preferred	https://www.encodeproject.org/files/ENCFF457BJI/@@download/ENCFF457BJI.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG1652
RBM39		Preferred	https://www.encodeproject.org/files/ENCFF796LVD/@@download/ENCFF796LVD.bed.gz	Other		"RNA binding protein that plays a role in splicing. Has RNA recognition motif domain, and interactions with several proteins including TFs, but no DNA binding domain."	"RNA binding protein,transcription factor"	COG0724
RBPJ	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF303KJW/@@download/ENCFF303KJW.bed.gz	TF	Yes		transcription factor	COG1600
RCOR1		Preferred	https://www.encodeproject.org/files/ENCFF110WHS/@@download/ENCFF110WHS.bed.gz	Other	No		transcription factor	COG3409
RCOR2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF133ULI/@@download/ENCFF133ULI.bed.gz	Other	No		transcription factor	COG3409
RCOR3	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503154&format=file&file=GSM7503154%5FRCOR3%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG0457
RELA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF588ZSF/@@download/ENCFF588ZSF.bed.gz	TF	Yes		transcription factor	COG0747
RERE	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF283JPC/@@download/ENCFF283JPC.bed.gz	Other	No		transcription factor	COG0006
REST		Non-preferred	https://www.encodeproject.org/files/ENCFF128XEY/@@download/ENCFF128XEY.bed.gz	TF	Yes		"transcription factor,chromatin remodeller"	COG3210
REST		Preferred	https://www.encodeproject.org/files/ENCFF227COI/@@download/ENCFF227COI.bed.gz	TF	Yes		"transcription factor,chromatin remodeller"	COG3210
REV3L	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503155&format=file&file=GSM7503155%5FREV3L%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other		POLZ subunit		COG2801
RFX1		Preferred	https://www.encodeproject.org/files/ENCFF881BZS/@@download/ENCFF881BZS.bed.gz	TF	Yes		transcription factor	COG4886
RFX3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF388AKT/@@download/ENCFF388AKT.bed.gz	TF	Yes		transcription factor	COG1483
RFX5		Preferred	https://www.encodeproject.org/files/ENCFF170RLS/@@download/ENCFF170RLS.bed.gz	TF	Yes		transcription factor	COG0640
RFXANK	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF731KLY/@@download/ENCFF731KLY.bed.gz	Other	No		transcription factor	COG2931
RFXAP	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF985JDC/@@download/ENCFF985JDC.bed.gz	Other	No		transcription factor	COG0508
RNF2		Preferred	https://www.encodeproject.org/files/ENCFF052BXQ/@@download/ENCFF052BXQ.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG1403
OBI1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF216WUU/@@download/ENCFF216WUU.bed.gz	Other	No		transcription factor	
RORA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF951EMJ/@@download/ENCFF951EMJ.bed.gz	TF	Yes		transcription factor	COG0517
RREB1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF397FIY/@@download/ENCFF397FIY.bed.gz	TF	Yes		transcription factor	COG1403
RXRA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF672JLN/@@download/ENCFF672JLN.bed.gz	TF	Yes		transcription factor	COG1403
RXRB	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF055PGX/@@download/ENCFF055PGX.bed.gz	TF	Yes		transcription factor	COG3677
SAFB2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF867CMD/@@download/ENCFF867CMD.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG2369
SALL1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503156&format=file&file=GSM7503156%5FSALL1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3170
SALL2	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503157&format=file&file=GSM7503157%5FSALL2%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1075
SAP130	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF557KBX/@@download/ENCFF557KBX.bed.gz	Other			transcription factor	COG3209
SATB2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF231FHP/@@download/ENCFF231FHP.bed.gz	TF	Yes		transcription factor	COG2801
SCMH1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503158&format=file&file=GSM7503158%5FSCMH1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes			COG0726
SETDB1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF186ELR/@@download/ENCFF186ELR.bed.gz	Other	Yes*	Chromatin remodeller	transcription factor	COG0789
SFPQ		Non-preferred	https://www.encodeproject.org/files/ENCFF508RFK/@@download/ENCFF508RFK.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG5295
SFPQ	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF655NBG/@@download/ENCFF655NBG.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG5295
SIN3A		Preferred	https://www.encodeproject.org/files/ENCFF803PTU/@@download/ENCFF803PTU.bed.gz	Other	No		transcription factor	COG3170
SIN3B		Preferred	https://www.encodeproject.org/files/ENCFF817MLD/@@download/ENCFF817MLD.bed.gz	Other	No		transcription factor	COG5635
SIX1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF885NXZ/@@download/ENCFF885NXZ.bed.gz	TF	Yes		transcription factor	COG3415
SIX4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF832KYL/@@download/ENCFF832KYL.bed.gz	TF	Yes		transcription factor	COG3266
SIX5	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503159&format=file&file=GSM7503159%5FSIX5%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3210
SKI		Preferred	https://www.encodeproject.org/files/ENCFF405UGF/@@download/ENCFF405UGF.bed.gz	TF	Yes		transcription factor	COG0535
SLC30A9	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503160&format=file&file=GSM7503160%5FSLC30A9%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG0053
SMAD1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF224UON/@@download/ENCFF224UON.bed.gz	TF	Yes		transcription factor	COG3464
SMAD3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF514EHR/@@download/ENCFF514EHR.bed.gz	TF	Yes		transcription factor	COG2801
SMAD4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF828ZCI/@@download/ENCFF828ZCI.bed.gz	TF	Yes		transcription factor	COG1961
SMAD7	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503161&format=file&file=GSM7503161%5FSMAD7%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG1470
SMAD9	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF707VDL/@@download/ENCFF707VDL.bed.gz	TF	Yes		transcription factor	COG2207
SMARCC2		Preferred	https://www.encodeproject.org/files/ENCFF201OTL/@@download/ENCFF201OTL.bed.gz	Other	No		transcription factor	COG5164
SMARCE1		Preferred	https://www.encodeproject.org/files/ENCFF176QWL/@@download/ENCFF176QWL.bed.gz	Other	No		transcription factor	COG3170
SMC3		Preferred	https://www.encodeproject.org/files/ENCFF492IMA/@@download/ENCFF492IMA.bed.gz	Other	No		transcription factor	COG1196
SNAI1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF713BCF/@@download/ENCFF713BCF.bed.gz	TF	Yes		transcription factor	COG1996
SNAPC4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF003YHG/@@download/ENCFF003YHG.bed.gz	TF	Yes		transcription factor	COG3170
SNRNP70		Preferred	https://www.encodeproject.org/files/ENCFF310GVX/@@download/ENCFF310GVX.bed.gz	Other		"Spliceosomal complex member. RNA recognition motif domain, interaction with several proteins, no DNA binding domain."	"RNA binding protein,transcription factor"	COG2801
SOX13	eGFP	Non-preferred	https://www.encodeproject.org/files/ENCFF935NRC/@@download/ENCFF935NRC.bed.gz	TF	Yes		transcription factor	COG4104
SOX13		Non-preferred	https://www.encodeproject.org/files/ENCFF972VWQ/@@download/ENCFF972VWQ.bed.gz	TF	Yes		transcription factor	COG4104
SOX13	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF344LWH/@@download/ENCFF344LWH.bed.gz	TF	Yes		transcription factor	COG4104
SOX18	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF139MAW/@@download/ENCFF139MAW.bed.gz	TF	Yes		transcription factor	COG1595
SOX5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF572TDN/@@download/ENCFF572TDN.bed.gz	TF	Yes		transcription factor	COG3170
SOX6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF677LEF/@@download/ENCFF677LEF.bed.gz	TF	Yes		transcription factor	COG3409
SOX6		Non-preferred	https://www.encodeproject.org/files/ENCFF224ACO/@@download/ENCFF224ACO.bed.gz	TF	Yes		transcription factor	COG3409
SP1		Preferred	https://www.encodeproject.org/files/ENCFF316YEL/@@download/ENCFF316YEL.bed.gz	TF	Yes		transcription factor	COG3266
SP1	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF022SPK/@@download/ENCFF022SPK.bed.gz	TF	Yes		transcription factor	COG3266
SP110	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503162&format=file&file=GSM7503162%5FSP110%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1403
SP140L	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF452TPH/@@download/ENCFF452TPH.bed.gz	TF	Yes		transcription factor	COG1961
SP2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF766ULD/@@download/ENCFF766ULD.bed.gz	TF	Yes		transcription factor	COG3293
SP2		Non-preferred	https://www.encodeproject.org/files/ENCFF962KEP/@@download/ENCFF962KEP.bed.gz	TF	Yes		transcription factor	COG3293
SP5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF997EZO/@@download/ENCFF997EZO.bed.gz	TF	Yes		transcription factor	COG1403
SPEN	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF505DKE/@@download/ENCFF505DKE.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG0582
SRF		Preferred	https://www.encodeproject.org/files/ENCFF299ZUK/@@download/ENCFF299ZUK.bed.gz	TF	Yes		transcription factor	COG0810
SRSF1		Preferred	https://www.encodeproject.org/files/ENCFF321UQK/@@download/ENCFF321UQK.bed.gz	Other		"Spliceosomal complex member. Multiple RNA recognition domains, protein interaction domain with SAFB1, no DNA binding domain."	"RNA binding protein,transcription factor"	COG0724
SRSF4		Preferred	https://www.encodeproject.org/files/ENCFF427GBB/@@download/ENCFF427GBB.bed.gz	Other		"Spliceosomal complex member, Multiple RNA recognition domains, no DNA binding domain."	"RNA binding protein,transcription factor"	COG0724
SRSF9		Preferred	https://www.encodeproject.org/files/ENCFF342SIN/@@download/ENCFF342SIN.bed.gz	Other		"Spliceosomal complex member. Note that it explicitly supresses the splicing of MAPT exon 10. Multiple RNA recognition domains, domain speifically interacts with SAFB1. No DNA Binding domain."	"RNA binding protein,transcription factor"	COG0724
SRY	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503163&format=file&file=GSM7503163%5FSRY%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1403
SSRP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF712IPK/@@download/ENCFF712IPK.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG3170
STAG1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF514OVO/@@download/ENCFF514OVO.bed.gz	Other	No		transcription factor	COG5635
STAT5A	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503164&format=file&file=GSM7503164%5FSTAT5A%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1309
STAT5B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF734DQW/@@download/ENCFF734DQW.bed.gz	TF	Yes		transcription factor	COG0846
STAT6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF009YMJ/@@download/ENCFF009YMJ.bed.gz	TF	Yes		transcription factor	COG0463
SUZ12		Preferred	https://www.encodeproject.org/files/ENCFF482HFQ/@@download/ENCFF482HFQ.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG3170
SYNCRIP		Preferred	https://www.encodeproject.org/files/ENCFF449IXP/@@download/ENCFF449IXP.bed.gz	Other		"hnRNP complex member, involved in splicing. Multiple RNA recognition motif domains. Domains speifically interacting with APOBEC1 and SMN. No DNA binding domain."	"RNA binding protein,transcription factor"	COG0724
TAF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF859JSG/@@download/ENCFF859JSG.bed.gz	Other	No		transcription factor	COG1002
TAF1		Non-preferred	https://www.encodeproject.org/files/ENCFF793EAH/@@download/ENCFF793EAH.bed.gz	Other	No		transcription factor	COG1002
TAF15		Preferred	https://www.encodeproject.org/files/ENCFF889SKN/@@download/ENCFF889SKN.bed.gz	Other		"Binds RNA and ssDNA. Has a RanBP2-type Zinc Finger domain, involved in RNA binding and possibly protein interactions. Has RNA recognition motif domain, no clear interactino domains or DNA binding domains."	"RNA binding protein,transcription factor"	COG1525
TARDBP		Preferred	https://www.encodeproject.org/files/ENCFF978CQE/@@download/ENCFF978CQE.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG0724
TBL1XR1		Preferred	https://www.encodeproject.org/files/ENCFF694AOE/@@download/ENCFF694AOE.bed.gz	Other			transcription factor	COG2319
TBP	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF935CJP/@@download/ENCFF935CJP.bed.gz	TF	Yes		transcription factor	COG3064
TBP		Non-preferred	https://www.encodeproject.org/files/ENCFF146NGT/@@download/ENCFF146NGT.bed.gz	TF	Yes		transcription factor	COG3064
TBX2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF162BJS/@@download/ENCFF162BJS.bed.gz	TF	Yes		transcription factor	COG2755
TBX3		Non-preferred	https://www.encodeproject.org/files/ENCFF279ROV/@@download/ENCFF279ROV.bed.gz	TF	Yes		transcription factor	COG2755
TBX3		Preferred	https://www.encodeproject.org/files/ENCFF757KHZ/@@download/ENCFF757KHZ.bed.gz	TF	Yes		transcription factor	COG2755
TCF12		Preferred	https://www.encodeproject.org/files/ENCFF518GBI/@@download/ENCFF518GBI.bed.gz	TF	Yes		transcription factor	COG3266
TCF3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF825QLF/@@download/ENCFF825QLF.bed.gz	TF	Yes		transcription factor	COG3729
TCF7		Preferred	https://www.encodeproject.org/files/ENCFF646DDZ/@@download/ENCFF646DDZ.bed.gz	TF	Yes		transcription factor	COG1595
TCF7L2		Non-preferred	https://www.encodeproject.org/files/ENCFF407LPM/@@download/ENCFF407LPM.bed.gz	TF	Yes		transcription factor	COG1595
TCF7L2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF276DAQ/@@download/ENCFF276DAQ.bed.gz	TF	Yes		transcription factor	COG1595
TEAD1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF715HFB/@@download/ENCFF715HFB.bed.gz	TF	Yes		transcription factor	COG0484
TEAD2	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503165&format=file&file=GSM7503165%5FTEAD2%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3409
TEAD3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF467MXY/@@download/ENCFF467MXY.bed.gz	TF	Yes		transcription factor	COG0388
TEAD4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF392AXI/@@download/ENCFF392AXI.bed.gz	TF	Yes		transcription factor	COG2230
TEF	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF019SUK/@@download/ENCFF019SUK.bed.gz	TF	Yes		transcription factor	COG1196
TFAP4		Non-preferred	https://www.encodeproject.org/files/ENCFF129CAQ/@@download/ENCFF129CAQ.bed.gz	TF	Yes		transcription factor	COG1196
TFAP4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF831LHT/@@download/ENCFF831LHT.bed.gz	TF	Yes		transcription factor	COG1196
TFDP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF260VQA/@@download/ENCFF260VQA.bed.gz	TF	Yes		transcription factor	COG2865
TFDP2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF632WZL/@@download/ENCFF632WZL.bed.gz	TF	Yes		transcription factor	COG0457
TFE3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF911OIW/@@download/ENCFF911OIW.bed.gz	TF	Yes		transcription factor	COG1917
TGIF2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF584UVU/@@download/ENCFF584UVU.bed.gz	TF	Yes		transcription factor	COG2135
THAP1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503166&format=file&file=GSM7503166%5FTHAP1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG4372
